"V1" "V2" "V3"
"gene_1.fasta" 0.380453164992451 0.0288542624496477 -0.0657201729597106
"gene_10.fasta" -0.112080442995943 -0.177540173885159 0.00405873563274866
"gene_11.fasta" -0.245438838194997 0.0642369201418226 -0.0774129133446606
"gene_12.fasta" -0.232457002076113 0.0775146431004342 -0.0770069593341872
"gene_13.fasta" -0.321432228911627 0.0937968966477726 -0.0202156722069756
"gene_14.fasta" -0.228529680560399 0.100216267018056 0.088845692965237
"gene_15.fasta" -0.307926332637199 0.11766060624319 -0.0751055609123793
"gene_16.fasta" 0.0456661255738935 0.0889840584740981 0.0156925121507662
"gene_17.fasta" 0.0760092378025293 0.0699582042024856 0.0796263040473448
"gene_18.fasta" 0.151356554777108 -0.0308175595992488 0.170297995085967
"gene_19.fasta" 0.0849642495111587 0.152637315995162 0.0797912517231225
"gene_2.fasta" 0.285916810786213 -0.00685313063832536 -0.107937275648323
"gene_20.fasta" 0.0708400688897767 0.15706959115979 0.0810127695935119
"gene_3.fasta" 0.374813346256652 -0.0230514184175012 -0.0532338161395182
"gene_4.fasta" 0.257262154120321 -0.032112345808788 -0.0193742798931818
"gene_5.fasta" 0.334459796065811 -0.0269079193887182 -0.0754553085730397
"gene_6.fasta" -0.126043616603155 -0.189096764937408 0.0385467040077043
"gene_7.fasta" -0.1672114690372 -0.15421253166748 0.07062306371167
"gene_8.fasta" -0.279343127822928 -0.12101112333407 -0.124006284889969
"gene_9.fasta" -0.041278769936352 -0.18932579775576 0.066973214983873
