"gene_1.fasta" "gene_10.fasta" "gene_11.fasta" "gene_12.fasta" "gene_13.fasta" "gene_14.fasta" "gene_15.fasta" "gene_16.fasta" "gene_17.fasta" "gene_18.fasta" "gene_19.fasta" "gene_2.fasta" "gene_20.fasta" "gene_3.fasta" "gene_4.fasta" "gene_5.fasta" "gene_6.fasta" "gene_7.fasta" "gene_8.fasta" "gene_9.fasta"
"gene_1.fasta" 0 0.532628797678257 0.630672445797895 0.61024995442714 0.71041177138375 0.639071894142182 0.682504002317021 0.329611612587408 0.346442712676402 0.341623367650006 0.381290958744822 0.0558821668519198 0.365392996787975 0.0685510263763183 0.12195829866554 0.073017424465154 0.558782098534184 0.598079278625898 0.693093032976253 0.493314704741124
"gene_10.fasta" 0.532628797678257 0 0.296706658975644 0.300262626925581 0.333103932063014 0.345862439656651 0.35627701439078 0.310332135182761 0.331115021213974 0.342613523505995 0.41685669921196 0.451547671701125 0.392118690474622 0.514874095402347 0.40390069974552 0.480268080920769 0.0563247340523173 0.119972828051513 0.243168973250076 0.146095379410183
"gene_11.fasta" 0.630672445797895 0.296706658975644 0 0.0563498747256486 0.0861593822703517 0.192153629023302 0.0742438124272176 0.310614859299644 0.380804412713021 0.488615459400953 0.403589488981857 0.546585832011539 0.372239433535332 0.631217495811144 0.505812628897756 0.573542169490984 0.308766849457993 0.278937894567417 0.246884379891716 0.366865080189082
"gene_12.fasta" 0.61024995442714 0.300262626925581 0.0563498747256486 0 0.0818917105319417 0.202082259307327 0.0781028977783681 0.30277092442242 0.365597919432609 0.476612435369643 0.391297998264115 0.528573612261187 0.358366318109419 0.613434126734288 0.492223612380976 0.590304256100392 0.31355702552639 0.289440887752033 0.252690509621038 0.37139366481583
"gene_13.fasta" 0.71041177138375 0.333103932063014 0.0861593822703517 0.0818917105319417 0 0.224382819603579 0.0586318850577263 0.343600407909551 0.402278418337483 0.525266914166435 0.425832484294346 0.628289876870829 0.398130164899945 0.72808445243326 0.58010611190751 0.642478155996338 0.346396908506608 0.319393897992748 0.230025934721598 0.413223941723494
"gene_14.fasta" 0.639071894142182 0.345862439656651 0.192153629023302 0.202082259307327 0.224382819603579 0 0.231334902892896 0.307975878482108 0.346621148994637 0.455423850493704 0.370326638221782 0.559795530082514 0.333690043270666 0.630225106250314 0.530136888616397 0.634349111830119 0.340328383873286 0.284707468035647 0.36642343243839 0.357199433156986
"gene_15.fasta" 0.682504002317021 0.35627701439078 0.0742438124272176 0.0781028977783681 0.0586318850577263 0.231334902892896 0 0.351052168502923 0.421182955634452 0.54170331140126 0.443686798403964 0.590199699097347 0.406577615520669 0.685109268517025 0.612741625327999 0.682135395253211 0.367485320873216 0.339807284503438 0.265994718586253 0.440595832278623
"gene_16.fasta" 0.329611612587408 0.310332135182761 0.310614859299644 0.30277092442242 0.343600407909551 0.307975878482108 0.351052168502923 0 0.127357014192555 0.2119463507822 0.144010891409851 0.300237531786487 0.104517784302732 0.343086068453732 0.247308167347183 0.311785356495895 0.326569686224978 0.327406385476421 0.418800924933334 0.304907628738994
"gene_17.fasta" 0.346442712676402 0.331115021213974 0.380804412713021 0.365597919432609 0.402278418337483 0.346621148994637 0.421182955634452 0.127357014192555 0 0.171759419938922 0.129967917651851 0.311554517976806 0.141642672671431 0.346506542025447 0.249433542475902 0.311498326473785 0.340785832454239 0.341160356532592 0.451543032186526 0.327476237318355
"gene_18.fasta" 0.341623367650006 0.342613523505995 0.488615459400953 0.476612435369643 0.525266914166435 0.455423850493704 0.54170331140126 0.2119463507822 0.171759419938922 0 0.262677119193913 0.308383463337476 0.225622866166236 0.335903495855195 0.240943133758068 0.322008671839704 0.344784174244369 0.371431252746645 0.541044482613038 0.315332301655234
"gene_19.fasta" 0.381290958744822 0.41685669921196 0.403589488981857 0.391297998264115 0.425832484294346 0.370326638221782 0.443686798403964 0.144010891409851 0.129967917651851 0.262677119193913 0 0.351160502723239 0.168528522170036 0.381027632903944 0.293284372370903 0.340226051883796 0.425984943525629 0.406020877129285 0.505035898246884 0.400699016234933
"gene_2.fasta" 0.0558821668519198 0.451547671701125 0.546585832011539 0.528573612261187 0.628289876870829 0.559795530082514 0.590199699097347 0.300237531786487 0.311554517976806 0.308383463337476 0.351160502723239 0 0.33767904123252 0.0804342902896377 0.103894486820099 0.0631375735814924 0.475296571235757 0.511646312978809 0.587215290814988 0.423495678977488
